post_id;post_name;version;tags_number;is_featured;score;created_at_day;created_at_daytime;launched_day;is_best_time_to_launch;is_best_day_to_launch;is_weekend;positive_description_sentiment;negative_description_sentiment;discretized_positive_description_score;discretized_negative_description_score;discretized_neutral_description_score;text_description_length;sentence_length_in_the_description;bullet_points_explicit_features;emoji_in_description;tagline_length;emoji_in_tagline;are_there_video;are_there_tweetable_images;are_there_gif_images;number_of_gif;offers;promo_discount_codes;are_there_questions;hunter_id;hunter_name;hunter_has_twitter;hunter_has_website;hunter_followers;hunter_apps_made;hunter_follows_up_on_comments;hunter_is_maker;maker_id;maker_name;maker_has_twitter;maker_has_website;maker_followers;maker_follows_up_on_comments;maker_positive_comment;maker_negative_comment;discretized_maker_positive_comment_score;discretized_maker_negative_comment_score;discretized_maker_neutral_comment_score;others_positive_comment;others_negative_comment;discretized_others_positive_comment_score;discretized_others_negative_comment_score;discretized_others_neutral_comment_score;topic
129597;Plank Stopwatch Timer;1.0;3;No;3;25/06/2018;25/06/2018 01:51:49;Monday;Yes;Yes;No;1;-3;False;True;False;Medium;Short;No;No;Medium;No;No;No;No;0;No;No;Yes;705360;Mithil Jadhav;Yes;No;Low;Low;No;Yes;705360;Mithil Jadhav;Yes;No;Low;Yes;3;-1;True;False;False;1;-1;False;False;True;creativity
129598;Flappy Rulers - Politicians Missile Battle;1.0;5;No;5;25/06/2018;25/06/2018 02:34:15;Monday;Yes;Yes;No;2;-2;True;True;False;Short;Short;No;No;Long;No;No;No;No;0;No;No;No;1043968;Siro Toracchio;No;No;Low;Low;No;No;1268718;Vsure Studio;Yes;Yes;Low;No;1;-1;False;False;True;1;-1;False;False;True;creativity
129600;GameLibBooster;1.0;3;No;3;25/06/2018;25/06/2018 03:00:35;Monday;Yes;No;No;1;-4;False;True;False;Long;Medium;No;No;Medium;Yes;No;No;Yes;2;No;No;No;1329198;Grégory Journé;Yes;Yes;Low;Low;No;Yes;1329198;Grégory Journé;Yes;Yes;Low;Yes;3;-1;True;False;False;1;-1;False;False;True;creativity
129601;Gumball²;1.0;1;No;3;25/06/2018;25/06/2018 03:20:36;Monday;Yes;Yes;No;1;-3;False;True;False;Medium;Long;No;No;Short;No;No;No;No;0;No;No;No;1043468;MintyCMS;No;No;Low;Low;No;Yes;1043468;MintyCMS;No;No;Low;No;1;-1;False;False;True;1;-1;False;False;True;creativity
129602;Directive2102.eu;1.0;0;No;1;25/06/2018;25/06/2018 03:32:06;Monday;Yes;Yes;No;1;-1;False;False;True;Medium;Medium;No;No;Long;No;No;No;No;0;No;No;No;339880;Marcus Herrmann;Yes;Yes;Low;Low;No;Yes;339880;Marcus Herrmann;Yes;Yes;Low;No;1;-1;False;False;True;1;-1;False;False;True;community
129603;Startup CEO Entrepreneur App: India Funding B-plan;1.0;4;No;2;25/06/2018;25/06/2018 03:46:43;Monday;Yes;Yes;No;3;-2;True;True;False;Long;Medium;No;No;Long;No;No;No;No;0;No;No;No;1308291;Kunaal Satija;No;No;Low;Low;No;No;1298391;Hardik Jindal;No;No;Low;No;1;-1;False;False;True;1;-1;False;False;True;creativity
129605;Api2Pdf;1.0;3;No;3;25/06/2018;25/06/2018 04:54:59;Monday;Yes;Yes;No;1;-4;False;True;False;Medium;Medium;No;No;Long;No;No;No;No;0;No;No;No;1324597;Zack Schwartz;No;No;Low;Low;No;Yes;1324597;Zack Schwartz;No;No;Low;No;1;-1;False;False;True;1;-1;False;False;True;community
129615;Minimus;1.0;5;No;2;25/06/2018;25/06/2018 06:52:41;Monday;Yes;Yes;No;1;-1;False;False;True;Long;Medium;No;No;Long;No;Yes;No;No;0;No;No;No;151011;Dilmer Valecillos;Yes;Yes;Low;Medium;No;Yes;151011;Dilmer Valecillos;Yes;Yes;Low;Yes;3;-2;True;True;False;1;-1;False;False;True;community
129616;PScreen;1.0;4;Yes;47;25/06/2018;26/06/2018 00:00:00;Tuesday;No;No;No;2;-1;True;False;False;Long;Medium;No;No;Medium;No;Yes;No;No;0;No;No;No;151011;Dilmer Valecillos;Yes;Yes;Low;Medium;No;Yes;151011;Dilmer Valecillos;Yes;Yes;Low;Yes;4;-1;True;False;False;1;-1;False;False;True;community
129617;IP;1.0;5;No;3;25/06/2018;25/06/2018 07:03:14;Monday;Yes;Yes;No;1;-1;False;False;True;Long;Medium;No;No;Medium;No;Yes;No;No;0;No;No;No;151011;Dilmer Valecillos;Yes;Yes;Low;Medium;No;Yes;151011;Dilmer Valecillos;Yes;Yes;Low;Yes;4;-2;True;True;False;1;-1;False;False;True;community
129625;Rise to the Rahz;1.0;1;No;3;25/06/2018;25/06/2018 09:38:21;Monday;No;Yes;No;3;-2;True;True;False;Short;Short;No;No;Long;No;No;No;No;0;No;No;No;24021;Erik van Mechelen;Yes;Yes;Low;Low;No;Yes;24021;Erik van Mechelen;Yes;Yes;Low;No;1;-1;False;False;True;1;-1;False;False;True;web development
129628;Pinterest Lite (Ionic 3);3.0;2;No;3;25/06/2018;25/06/2018 09:47:16;Monday;No;Yes;No;3;-1;True;False;False;Short;Short;No;No;Short;No;No;No;No;0;No;No;No;304139;Hieu Pham;Yes;Yes;Low;Low;No;Yes;304139;Hieu Pham;Yes;Yes;Low;No;1;-1;False;False;True;1;-1;False;False;True;web development
129629;Sift Games;1.0;2;Yes;28;26/06/2018;26/06/2018 04:00:00;Tuesday;Yes;No;No;2;-1;True;False;False;Short;Short;No;No;Long;No;No;No;No;0;No;No;Yes;1246229;Peter Hsieh;No;No;Low;Low;Yes;No;1250656;Danny Fawaz;No;No;Low;Yes;1;-1;False;False;True;1;-1;False;False;True;creativity
129630;Where the Action Is;1.0;1;No;3;25/06/2018;25/06/2018 10:01:55;Monday;No;No;No;1;-1;False;False;True;Long;Medium;No;No;Long;No;No;No;No;0;No;No;No;259621;John Keith;Yes;Yes;Low;Low;No;No;132726;Elise Keith;Yes;Yes;Low;No;1;-1;False;False;True;1;-1;False;False;True;creativity
129633;The DON Smart Task Completion;2.0;2;No;4;25/06/2018;25/06/2018 10:18:10;Monday;No;Yes;No;2;-1;True;False;False;Long;Medium;No;No;Short;No;No;No;No;0;No;No;No;1323690;David Oliver Nicholls;Yes;Yes;Low;Low;No;Yes;1323690;David Oliver Nicholls;Yes;Yes;Low;No;1;-1;False;False;True;1;-1;False;False;True;creativity
